species	superkingdom	phylum	class	order	family
nannocystis_exedens	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Nannocystaceae
ancylobacter_oerskovii	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae
methanosarcina_horonobensis	Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae
jeotgalicoccus_aerolatus	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae
lysinibacillus_sphaericus	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae
piscicoccus_intestinalis	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Dermatophilaceae
desulfosarcina_cetonica	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobacteraceae
bacillus_hemicellulosilyticus	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae
novosphingobium_naphthalenivorans	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae
ornithinimicrobium_pekingense	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Intrasporangiaceae
actinoplanes_utahensis	Bacteria	Actinobacteria	Actinobacteria	Micromonosporales	Micromonosporaceae
phaeospirillum_molischianum	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae
oribacterium_sinus	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae
thiothrix_caldifontis	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Thiotrichaceae
persephonella_guaymasensis	Bacteria	Aquificae	Aquificae	Aquificales	Hydrogenothermaceae
cellulomonas_phragmiteti	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Cellulomonadaceae
oerskovia_enterophila	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Cellulomonadaceae
marinospirillum_celere	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Oceanospirillaceae
desulfovibrio_alaskensis	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae
pelobacter_propionicus	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	Desulfuromonadaceae
herminiimonas_aquatilis	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae
helicobacter_suis	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae
burkholderia_tuberum	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae
xanthomonas_translucens	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae
anaerobacter_polyendosporus	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae
microbacterium_koreense	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae
microscilla_marina	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Microscillaceae
kitasatospora_paranensis	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae
clostridium_arbusti	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae
algoriphagus_mannitolivorans	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cyclobacteriaceae
planctomyces_maris	Bacteria	Planctomycetes	Planctomycetia	Planctomycetales	Planctomycetaceae
clostridium_viride	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae
micromonospora_peucetia	Bacteria	Actinobacteria	Actinobacteria	Micromonosporales	Micromonosporaceae
nocardia_vermiculata	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Nocardiaceae
streptomyces_bellus	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae
sediminihabitans_luteus	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Cellulomonadaceae
petrotoga_mobilis	Bacteria	Thermotogae	Thermotogae	Petrotogales	None
alysiella_crassa	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae
macrococcus_caseolyticus	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae
actinomyces_vaccimaxillae	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae
catenulispora_subtropica	Bacteria	Actinobacteria	Actinobacteria	Catenulisporales	Catenulisporaceae
bacillus_subtilis	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae
herminiimonas_fonticola	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae
desulfovibrio_tunisiensis	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae
streptomyces_resistomycificus	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae
aeromonas_tecta	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae
aquabacterium_commune	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	None
deinococcus_proteolyticus	Bacteria	Deinococcus-Thermus	Deinococci	Deinococcales	Deinococcaceae
thermosyntropha_lipolytica	Bacteria	Firmicutes	Clostridia	Clostridiales	Syntrophomonadaceae
shimwellia_pseudoproteus	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae
spirochaeta_americana	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Spirochaetaceae
thiomonas_delicata	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	None
palaeococcus_ferrophilus	Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae
xenorhabdus_koppenhoeferi	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Morganellaceae
nocardiopsis_baichengensis	Bacteria	Actinobacteria	Actinobacteria	Streptosporangiales	Nocardiopsaceae
paracoccus_yeei	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae
methanofollis_aquaemaris	Archaea	Euryarchaeota	Methanomicrobia	Methanomicrobiales	Methanomicrobiaceae
sphingomonas_jaspsi	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae
hyperthermus_butylicus	Archaea	Crenarchaeota	Thermoprotei	Desulfurococcales	Pyrodictiaceae
herbaspirillum_rubrisubalbicans	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae
curtobacterium_flaccumfaciens	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae
