species	superkingdom	phylum	class
panaeolina_foenisecii	Eukaryota	Basidiomycota	
emericellopsis_minima	Eukaryota	Ascomycota	
williamsia_faeni	Bacteria	Actinobacteria	
oudemansiella_platyphylla	Eukaryota	Arthropoda	
corynebacterium_aquilae	Bacteria	Actinobacteria	
arthrobacter_creatinolyticus	Bacteria	Actinobacteria	
xenorhabdus_griffiniae	Bacteria	Proteobacteria	Gammaproteobacteria
streptomyces_venezuelae	Bacteria	Actinobacteria	
chalara_aurea	Eukaryota	Ascomycota	
vibrio_hispanicus	Bacteria	Proteobacteria	Gammaproteobacteria
alcaligenes_faecalis	Bacteria	Proteobacteria	Betaproteobacteria
pseudomonas_kilonensis	Bacteria	Proteobacteria	Gammaproteobacteria
issatchenkia_orientalis	Eukaryota	Ascomycota	
hespellia_stercorisuis	Bacteria	Firmicutes	
methylophaga_sulfidovorans	Bacteria	Proteobacteria	Gammaproteobacteria
planosporangium_mesophilum	Bacteria	Actinobacteria	
streptomyces_alni	Bacteria	Actinobacteria	
crocidura_suaveolens	Eukaryota	Chordata	
propionigenium_maris	Bacteria	Fusobacteria	
thalictrum_dipterocarpum	Eukaryota	Streptophyta	
lactobacillus_dextrinicus	Bacteria	Firmicutes	
cladobotryum_semicirculare	Eukaryota	Ascomycota	
marinococcus_halotolerans	Bacteria	Firmicutes	
donkioporia_expansa	Eukaryota	Basidiomycota	
alteromonas_stellipolaris	Bacteria	Proteobacteria	Gammaproteobacteria
pediococcus_pentosaceus	Bacteria	Firmicutes	
phellinus_ferreus	Eukaryota	Basidiomycota	
soehngenia_saccharolytica	Bacteria	Firmicutes	
leptospirillum_thiobacillus	Bacteria	Proteobacteria	Betaproteobacteria
pholiota_squarrosa	Eukaryota	Basidiomycota	
rhodobacter_capsulatus	Bacteria	Proteobacteria	Alphaproteobacteria
myceliophthora_thermophila	Eukaryota	Ascomycota	
cepphus_grylle	Eukaryota	Chordata	
ixora_javanica	Eukaryota	Streptophyta	
pyrococcus_abyssi	Archaea	Euryarchaeota	
mustela_frenata	Eukaryota	Chordata	
sphingomonas_echinoides	Bacteria	Proteobacteria	Alphaproteobacteria
methylobacterium_aerolatum	Bacteria	Proteobacteria	Alphaproteobacteria
kuraishia_capsulata	Eukaryota	Ascomycota	
nocardia_pneumoniae	Bacteria	Actinobacteria	
graphium_penicillioides	Eukaryota	Ascomycota	
thioalkalispira_microaerophila	Bacteria	Proteobacteria	Gammaproteobacteria
desulfobacterium_niacini	Bacteria	Proteobacteria	Deltaproteobacteria
blautia_coccoides	Bacteria	Firmicutes	
exophiala_spinifera	Eukaryota	Ascomycota	
virgibacillus_campisalis	Bacteria	Firmicutes	
odocoileus_virginianus	Eukaryota	Chordata	
globicatella_sanguinis	Bacteria	Firmicutes	
neurotrichus_gibbsii	Eukaryota	Chordata	
arthrobotrys_brochopaga	Eukaryota	Ascomycota	
thermomonas_fusca	Bacteria	Proteobacteria	Gammaproteobacteria
phyllobacterium_trifolii	Bacteria	Proteobacteria	Alphaproteobacteria
loktanella_pyoseonensis	Bacteria	Proteobacteria	Alphaproteobacteria
beijerinckia_derxii	Bacteria	Proteobacteria	Alphaproteobacteria
spirochaeta_isovalerica	Bacteria	Spirochaetes	
bacillus_thuringiensis	Bacteria	Firmicutes	
zavarzinella_formosa	Bacteria	Planctomycetes	
rhodopseudomonas_julia	Bacteria	Proteobacteria	Alphaproteobacteria
aliivibrio_logei	Bacteria	Proteobacteria	Gammaproteobacteria
streptomyces_lydicus	Bacteria	Actinobacteria	
mycena_crocata	Eukaryota	Basidiomycota	
mycobacterium_thermoresistibile	Bacteria	Actinobacteria	
yersinia_rohdei	Bacteria	Proteobacteria	Gammaproteobacteria
paenibacillus_residui	Bacteria	Firmicutes	
morchella_esculenta	Eukaryota	Ascomycota	
capnocytophaga_gingivalis	Bacteria	Bacteroidetes	
spiroplasma_monobiae	Bacteria	Tenericutes	
sporomusa_silvacetica	Bacteria	Firmicutes	
microbacterium_oleivorans	Bacteria	Actinobacteria	
aquaspirillum_arcticum	Bacteria	Proteobacteria	Betaproteobacteria
stackebrandtia_nassauensis	Bacteria	Actinobacteria	
methylocapsa_aurea	Bacteria	Proteobacteria	Alphaproteobacteria
agrobacterium_luteum	Bacteria	Proteobacteria	Alphaproteobacteria
mycobacterium_farcinogenes	Bacteria	Actinobacteria	
micromonospora_krabiensis	Bacteria	Actinobacteria	
syntrophothermus_lipocalidus	Bacteria	Firmicutes	
dickeya_chrysanthemi	Bacteria	Proteobacteria	Gammaproteobacteria
cyclobacterium_marinum	Bacteria	Bacteroidetes	
moorella_glycerini	Bacteria	Firmicutes	
burkholderia_caribensis	Bacteria	Proteobacteria	Betaproteobacteria
desulfotomaculum_halophilum	Bacteria	Firmicutes	
echymipera_kalabu	Eukaryota	Chordata	
dactylomyces_thermophilus	Eukaryota	Ascomycota	
desulfovibrio_brasiliensis	Bacteria	Proteobacteria	Deltaproteobacteria
moraxella_(moraxella)		Proteobacteria	Gammaproteobacteria
aerococcus_urinae	Bacteria	Firmicutes	
pseudomonas_costantinii	Bacteria	Proteobacteria	Gammaproteobacteria
glycine_max	Eukaryota	Streptophyta	
lysobacter_panaciterrae	Bacteria	Proteobacteria	Gammaproteobacteria
seinonella_peptonophila	Bacteria	Firmicutes	
fusarium_inflexum	Eukaryota	Ascomycota	
myroides_odoratus	Bacteria	Bacteroidetes	
cedecea_davisae	Bacteria	Proteobacteria	Gammaproteobacteria
bacillus_galliciensis	Bacteria	Firmicutes	
phomopsis_viticola	Eukaryota	Ascomycota	
thanatephorus_praticola	Eukaryota	Basidiomycota	
salinivibrio_siamensis	Bacteria	Proteobacteria	Gammaproteobacteria
microbacterium_pseudoresistens	Bacteria	Actinobacteria	
leifsonia_pindariensis	Bacteria	Actinobacteria	
lactobacillus_parafarraginis	Bacteria	Firmicutes	
paracoccus_denitrificans	Bacteria	Proteobacteria	Alphaproteobacteria
marinobacterium_lutimaris	Bacteria	Proteobacteria	Gammaproteobacteria
arthrobacter_globiformis	Bacteria	Actinobacteria	
ixora_coccinea	Eukaryota	Streptophyta	
clostridium_saccharolyticum	Bacteria	Firmicutes	
borrelia_californensis	Bacteria	Spirochaetes	
hygrophoropsis_aurantiaca	Eukaryota	Basidiomycota	
chlorobium_ferrooxidans	Bacteria	Chlorobi	
bosea_thiooxidans	Bacteria	Proteobacteria	Alphaproteobacteria
lactovum_miscens	Bacteria	Firmicutes	
streptomyces_capoamus	Bacteria	Actinobacteria	
microdochium_bolleyi	Eukaryota	Ascomycota	
nothopanus_hygrophanus	Eukaryota	Basidiomycota	
artabotrys_hexapetalus	Eukaryota	Streptophyta	
thrichomys_apereoides	Eukaryota	Chordata	
thermoanaerobacter_mathranii	Bacteria	Firmicutes	
exobasidium_vaccinii	Eukaryota	Basidiomycota	
natrialba_asiatica	Archaea	Euryarchaeota	
flavobacterium_columnare	Bacteria	Bacteroidetes	
achromobacter_alcaligenes	Bacteria	Proteobacteria	Betaproteobacteria
coraliomargarita_akajimensis	Bacteria	Verrucomicrobia	
streptomyces_fildesensis	Bacteria	Actinobacteria	
staphylococcus_felis	Bacteria	Firmicutes	
merulius_tremellosus	Eukaryota	Basidiomycota	
peptococcus_niger	Bacteria	Firmicutes	
caldilinea_aerophila	Bacteria	Chloroflexi	
penicillium_megasporum	Eukaryota	Ascomycota	
mycobacterium_xenopi	Bacteria	Actinobacteria	
clostridium_hylemonae	Bacteria	Firmicutes	
clostridium_clostridioforme	Bacteria	Firmicutes	
streptomyces_coacervatus	Bacteria	Actinobacteria	
leucobacter_aridicollis	Bacteria	Actinobacteria	
verrucomicrobium_spinosum	Bacteria	Verrucomicrobia	
kushneria_avicenniae	Bacteria	Proteobacteria	Gammaproteobacteria
comamonas_pseudomonas	Bacteria	Proteobacteria	Gammaproteobacteria
alkalibacillus_flavidus	Bacteria	Firmicutes	
helcococcus_sueciensis	Bacteria	Firmicutes	
lipomyces_starkeyi	Eukaryota	Ascomycota	
taxidea_taxus	Eukaryota	Chordata	
corynebacterium_ulcerans	Bacteria	Actinobacteria	
desulfovibrio_dechloracetivorans	Bacteria	Proteobacteria	Deltaproteobacteria
variovorax_dokdonensis	Bacteria	Proteobacteria	Betaproteobacteria
methanosaeta_concilii	Archaea	Euryarchaeota	
actinomyces_bowdenii	Bacteria	Actinobacteria	
desulfovibrio_gigas	Bacteria	Proteobacteria	Deltaproteobacteria
bifidobacterium_psychraerophilum	Bacteria	Actinobacteria	
tepidibacter_formicigenes	Bacteria	Firmicutes	
knoellia_subterranea	Bacteria	Actinobacteria	
sphingomonas_pseudomonas	Bacteria	Proteobacteria	Gammaproteobacteria
flexibacter_elegans	Bacteria	Bacteroidetes	
alces_alces	Eukaryota	Chordata	
hansenula_polymorpha	Eukaryota	Ascomycota	
streptomyces_staurosporininus	Bacteria	Actinobacteria	
xerus_inauris	Eukaryota	Chordata	
penicillium_viridicatum	Eukaryota	Ascomycota	
cellulophaga_lytica	Bacteria	Bacteroidetes	
catenuloplanes_niger	Bacteria	Actinobacteria	
trichoderma_harzianum	Eukaryota	Ascomycota	
eligmodontia_typus	Eukaryota	Chordata	
microbacterium_soli	Bacteria	Actinobacteria	
deinococcus_caeni	Bacteria	Deinococcus-Thermus	
microbispora_griseoalba	Bacteria	Actinobacteria	
alkalimonas_delamerensis	Bacteria	Proteobacteria	Gammaproteobacteria
bradyrhizobium_elkanii	Bacteria	Proteobacteria	Alphaproteobacteria
prevotella_fusca	Bacteria	Bacteroidetes	
elephantulus_rozeti	Eukaryota	Chordata	
streptomyces_endus	Bacteria	Actinobacteria	
eubacterium_multiforme	Bacteria	Firmicutes	
haloplasma_contractile	Bacteria		
azorina_vidalii	Eukaryota	Streptophyta	
streptomyces_lateritius	Bacteria	Actinobacteria	
brochothrix_thermosphacta	Bacteria	Firmicutes	
corynebacterium_accolens	Bacteria	Actinobacteria	
bacillus_rigui	Bacteria	Firmicutes	
bacillus_mannanilyticus	Bacteria	Firmicutes	
streptomyces_sannanensis	Bacteria	Actinobacteria	
mycobacterium_acinetobacter	Bacteria	Proteobacteria	Gammaproteobacteria
veillonella_parvula	Bacteria	Firmicutes	
pedobacter_metabolipauper	Bacteria	Bacteroidetes	
ganoderma_applanatum	Eukaryota	Basidiomycota	
mycobacterium_madagascariense	Bacteria	Actinobacteria	
kocuria_turfanensis	Bacteria	Actinobacteria	
erwinia_amylovora	Bacteria	Proteobacteria	Gammaproteobacteria
microbulbifer_epialgicus	Bacteria	Proteobacteria	Gammaproteobacteria
streptomyces_ginsengisoli	Bacteria	Actinobacteria	
fusarium_redolens	Eukaryota	Ascomycota	
fibrisoma_limi	Bacteria	Bacteroidetes	
udeniomyces_puniceus	Eukaryota	Basidiomycota	
berberis_candidula	Eukaryota	Streptophyta	
luteococcus_peritonei	Bacteria	Actinobacteria	
thermococcus_litoralis	Archaea	Euryarchaeota	
chelativorans_multitrophicus	Bacteria	Proteobacteria	Alphaproteobacteria
actinomyces_naeslundii	Bacteria	Actinobacteria	
agrococcus_casei	Bacteria	Actinobacteria	
maribacter_stanieri	Bacteria	Bacteroidetes	
streptomyces_castelarensis	Bacteria	Actinobacteria	
halomonas_halodenitrificans	Bacteria	Proteobacteria	Gammaproteobacteria
bipolaris_oryzae	Eukaryota	Ascomycota	
tsukamurella_strandjordii	Bacteria	Actinobacteria	
actinomadura_luteofluorescens	Bacteria	Actinobacteria	
providencia_vermicola	Bacteria	Proteobacteria	Gammaproteobacteria
buttiauxella_ferragutiae	Bacteria	Proteobacteria	Gammaproteobacteria
streptomyces_fragilis	Bacteria	Actinobacteria	
ectothiorhodospira_variabilis	Bacteria	Proteobacteria	Gammaproteobacteria
moraxella_caviae	Bacteria	Proteobacteria	Gammaproteobacteria
stella_vacuolata	Bacteria	Proteobacteria	Alphaproteobacteria
kocuria_marina	Bacteria	Actinobacteria	
bacteroides_ureolyticus	Bacteria	Proteobacteria	Epsilonproteobacteria
streptomyces_phaeoluteichromatogenes	Bacteria	Actinobacteria	
desulfosporosinus_lacus	Bacteria	Firmicutes	
amphritea_atlantica	Bacteria	Proteobacteria	Gammaproteobacteria
nocardioides_aromaticivorans	Bacteria	Actinobacteria	
mycobacterium_tusciae	Bacteria	Actinobacteria	
methanolobus_vulcani	Archaea	Euryarchaeota	
mycobacterium_rufum	Bacteria	Actinobacteria	
geobacter_hydrogenophilus	Bacteria	Proteobacteria	Deltaproteobacteria
pseudonocardia_eucalypti	Bacteria	Actinobacteria	
prevotella_baroniae	Bacteria	Bacteroidetes	
deinococcus_geothermalis	Bacteria	Deinococcus-Thermus	
felis_concolor	Eukaryota	Chordata	
coleophoma_oleae	Eukaryota	Ascomycota	
anoxynatronum_sibiricum	Bacteria	Firmicutes	
plesiomonas_shigelloides	Bacteria	Proteobacteria	Gammaproteobacteria
desulfurella_multipotens	Bacteria	Proteobacteria	Deltaproteobacteria
vibrio_kanaloae	Bacteria	Proteobacteria	Gammaproteobacteria
methanococcoides_burtonii	Archaea	Euryarchaeota	
rikenella_microfusus	Bacteria	Bacteroidetes	
arsenicicoccus_piscis	Bacteria	Actinobacteria	
bacillus_kribbensis	Bacteria	Firmicutes	
arenimonas_oryziterrae	Bacteria	Proteobacteria	Gammaproteobacteria
citeromyces_matritensis	Eukaryota	Ascomycota	
mycobacterium_yunnanensis	Bacteria	Actinobacteria	
streptomyces_cangkringensis	Bacteria	Actinobacteria	
roseburia_faecis	Bacteria	Firmicutes	
phyllotis_xanthopygus	Eukaryota	Chordata	
bacillus_smithii	Bacteria	Firmicutes	
burkholderia_unamae	Bacteria	Proteobacteria	Betaproteobacteria
algoriphagus_boritolerans	Bacteria	Bacteroidetes	
psilocybe_cubensis	Eukaryota	Basidiomycota	
bacillus_acidicola	Bacteria	Firmicutes	
sporobacter_termitidis	Bacteria	Firmicutes	
callichilia_subsessilis	Eukaryota	Streptophyta	
streptomyces_alboniger	Bacteria	Actinobacteria	
mycobacterium_abscessus	Bacteria	Actinobacteria	
berberis_angulosa	Eukaryota	Streptophyta	
gracilibacillus_bigeumensis	Bacteria	Firmicutes	
chitinophaga_japonensis	Bacteria	Bacteroidetes	
cladobotryum_virescens	Eukaryota	Ascomycota	
thermaerobacter_nagasakiensis	Bacteria	Firmicutes	
pseudochrobactrum_asaccharolyticum	Bacteria	Proteobacteria	Alphaproteobacteria
proteocatella_sphenisci	Bacteria	Firmicutes	
bacillus_sonorensis	Bacteria	Firmicutes	
amsonia_tabernaemontana	Eukaryota	Streptophyta	
caminicella_sporogenes	Bacteria	Firmicutes	
streptomyces_mordarskii	Bacteria	Actinobacteria	
nonomuraea_turkmeniaca	Bacteria	Actinobacteria	
actinoalloteichus_spitiensis	Bacteria	Actinobacteria	
allocatelliglobosispora_scoriae	Bacteria	Actinobacteria	
rhodonellum_ikkaensis	Bacteria	Bacteroidetes	
hydromys_chrysogaster	Eukaryota	Chordata	
geobacillus_vulcani	Bacteria	Firmicutes	
halomonas_alkaliphila	Bacteria	Proteobacteria	Gammaproteobacteria
curvibacter_delicatus	Bacteria	Proteobacteria	Betaproteobacteria
ramaria_formosa	Eukaryota	Basidiomycota	
psychotria_bacteriophila	Eukaryota	Streptophyta	
bordetella_parapertussis	Bacteria	Proteobacteria	Betaproteobacteria
pandoraea_norimbergensis	Bacteria	Proteobacteria	Betaproteobacteria
tepidimicrobium_xylanilyticum	Bacteria	Firmicutes	
roseospirillum_parvum	Bacteria	Proteobacteria	Alphaproteobacteria
alkalibacterium_olivapovliticus	Bacteria	Firmicutes	
clostridium_citroniae	Bacteria	Firmicutes	
kaistia_soli	Bacteria	Proteobacteria	Alphaproteobacteria
marivirga_sericea	Bacteria	Bacteroidetes	
kluyvera_ascorbata	Bacteria	Proteobacteria	Gammaproteobacteria
rhodobacter_johrii	Bacteria	Proteobacteria	Alphaproteobacteria
flavobacterium_anhuiense	Bacteria	Bacteroidetes	
kocuria_rosea	Bacteria	Actinobacteria	
burkholderia_caryophylli	Bacteria	Proteobacteria	Betaproteobacteria
brevibacillus_aydinogluensis	Bacteria	Firmicutes	
kineococcus_rhizosphaerae	Bacteria	Actinobacteria	
argemone_platyceras	Eukaryota	Streptophyta	
anaerococcus_senegalensis	Bacteria	Firmicutes	
orenia_sivashensis	Bacteria	Firmicutes	
aeromonas_bivalvium	Bacteria	Proteobacteria	Gammaproteobacteria
marinobacter_aquaeolei	Bacteria	Proteobacteria	Gammaproteobacteria
kribbella_catacumbae	Bacteria	Actinobacteria	
citrobacter_farmeri	Bacteria	Proteobacteria	Gammaproteobacteria
cercartetus_lepidus	Eukaryota	Chordata	
natronoflexus_pectinivorans	Bacteria	Bacteroidetes	
arthrobacter_nitroguajacolicus	Bacteria	Actinobacteria	
tinospora_cordifolia	Eukaryota	Streptophyta	
leifsonia_kribbensis	Bacteria	Actinobacteria	
kitasatospora_sampliensis	Bacteria	Actinobacteria	
psychrobacillus_psychrotolerans	Bacteria	Firmicutes	
halorubrum_arcis	Archaea	Euryarchaeota	
brevibacillus_levickii	Bacteria	Firmicutes	
dorea_formicigenerans	Bacteria	Firmicutes	
ancylobacter_vacuolatus	Bacteria	Proteobacteria	Alphaproteobacteria
enterococcus_raffinosus	Bacteria	Firmicutes	
phoma_betae	Eukaryota	Ascomycota	
bacillus_aidingensis	Bacteria	Firmicutes	
staphylococcus_rostri	Bacteria	Firmicutes	
streptomyces_paradoxus	Bacteria	Actinobacteria	
rhodobacter_vinaykumarii	Bacteria	Proteobacteria	Alphaproteobacteria
halomonas_organivorans	Bacteria	Proteobacteria	Gammaproteobacteria
paraoerskovia_marina	Bacteria	Actinobacteria	
sanguibacter_antarcticus	Bacteria	Actinobacteria	
rhodovulum_steppense	Bacteria	Proteobacteria	Alphaproteobacteria
acetobacter_ghanensis	Bacteria	Proteobacteria	Alphaproteobacteria
streptomyces_streptomyces	Bacteria	Actinobacteria	
balneola_vulgaris	Bacteria	Balneolaeota	
endozoicomonas_elysicola	Bacteria	Proteobacteria	Gammaproteobacteria
ulocladium_chartarum	Eukaryota	Ascomycota	
streptosporangium_subroseum	Bacteria	Actinobacteria	
moraxella_bovis	Bacteria	Proteobacteria	Gammaproteobacteria
pseudonocardia_halophobica	Bacteria	Actinobacteria	
spirosoma_panaciterrae	Bacteria	Bacteroidetes	
thermococcus_atlanticus	Archaea	Euryarchaeota	
agrococcus_lahaulensis	Bacteria	Actinobacteria	
fodinibacter_luteus	Bacteria	Actinobacteria	
streptomyces_longisporoflavus	Bacteria	Actinobacteria	
corynebacterium_mustelae	Bacteria	Actinobacteria	
tolypocladium_inflatum	Eukaryota	Ascomycota	
gloriosa_rothschildiana	Eukaryota	Streptophyta	
dactylosporangium_maewongense	Bacteria	Actinobacteria	
planosporangium_flavigriseum	Bacteria	Actinobacteria	
kinneretia_asaccharophila	Bacteria	Proteobacteria	Betaproteobacteria
actinoplanes_liguriensis	Bacteria	Actinobacteria	
castellaniella_ginsengisoli	Bacteria	Proteobacteria	Betaproteobacteria
thiobacillus_denitrificans	Bacteria	Proteobacteria	Betaproteobacteria
pseudonocardia_thermophila	Bacteria	Actinobacteria	
planigale_gilesi	Eukaryota	Chordata	
massilia_oculi	Bacteria	Proteobacteria	Betaproteobacteria
lindnera_sargentensis	Eukaryota	Ascomycota	
corynebacterium_canis	Bacteria	Actinobacteria	
mastomys_natalensis	Eukaryota	Chordata	
halorubrum_xinjiangense	Archaea	Euryarchaeota	
deinococcus_cellulosilyticus	Bacteria	Deinococcus-Thermus	
streptomyces_streptoverticillium	Bacteria	Actinobacteria	
chrysiogenes_arsenatis	Bacteria	Chrysiogenetes	
desulfovibrio_marrakechensis	Bacteria	Proteobacteria	Deltaproteobacteria
asticcacaulis_biprosthecium	Bacteria	Proteobacteria	Alphaproteobacteria
caenorhabditis_elegans	Eukaryota	Nematoda	
alkalibacillus_haloalkaliphilus	Bacteria	Firmicutes	
sulfurisphaera_ohwakuensis	Archaea	Crenarchaeota	
planococcus_donghaensis	Bacteria	Firmicutes	
enterobacter_enterobacter	Bacteria	Proteobacteria	Gammaproteobacteria
amycolatopsis_coloradensis	Bacteria	Actinobacteria	
clostridium_tetani	Bacteria	Firmicutes	
leptosphaerulina_australis	Eukaryota	Ascomycota	
ascocoryne_cylichnium	Eukaryota	Ascomycota	
yimella_lutea	Bacteria	Actinobacteria	
azohydromonas_lata	Bacteria	Proteobacteria	Betaproteobacteria
streptococcus_devriesei	Bacteria	Firmicutes	
melanocarpus_albomyces	Eukaryota	Ascomycota	
aquincola_tertiaricarbonis	Bacteria	Proteobacteria	Betaproteobacteria
alkalibacillus_halophilus	Bacteria	Firmicutes	
desulfovibrio_longus	Bacteria	Proteobacteria	Deltaproteobacteria
cyanidioschyzon_merolae	Eukaryota		
tridax_procumbens	Eukaryota	Streptophyta	
clostridium_propionicum	Bacteria	Firmicutes	
caloramator_fervidus	Bacteria	Firmicutes	
salinivibrio_costicola	Bacteria	Proteobacteria	Gammaproteobacteria
pleurotus_flabellatus	Eukaryota	Basidiomycota	
curtobacterium_plantarum	Bacteria	Proteobacteria	Gammaproteobacteria
streptomyces_sporocinereus	Bacteria	Actinobacteria	
arthrobacter_crystallopoietes	Bacteria	Actinobacteria	
arthrobacter_scleromae	Bacteria	Actinobacteria	
taphrina_flavorubra	Eukaryota	Ascomycota	
phytophthora_cryptogea	Eukaryota		
halanaerobium_praevalens	Bacteria	Firmicutes	
cyathus_stercoreus	Eukaryota	Basidiomycota	
proteus_morganii	Bacteria	Proteobacteria	Gammaproteobacteria
anoxybacillus_bogrovensis	Bacteria	Firmicutes	
lactobacillus_algidus	Bacteria	Firmicutes	
chryseobacterium_gregarium	Bacteria	Bacteroidetes	
labrys_wisconsinensis	Bacteria	Proteobacteria	Alphaproteobacteria
penicillium_janczewskii	Eukaryota	Ascomycota	
pasteurella_canis	Bacteria	Proteobacteria	Gammaproteobacteria
clostridium_aurantibutyricum	Bacteria	Firmicutes	
chalinolobus_gouldii	Eukaryota	Chordata	
octomys_mimax	Eukaryota	Chordata	
legionella_rubrilucens	Bacteria	Proteobacteria	Gammaproteobacteria
microbacterium_halotolerans	Bacteria	Actinobacteria	
prevotella_amnii	Bacteria	Bacteroidetes	
spermophilus_beecheyi	Eukaryota	Chordata	
chaetophractus_vellerosus	Eukaryota	Chordata	
schwartzia_succinivorans	Bacteria	Firmicutes	
chlamydomonas_reinhardtii	Eukaryota	Chlorophyta	
thiorhodococcus_mannitoliphagus	Bacteria	Proteobacteria	Gammaproteobacteria
suttonella_indologenes	Bacteria	Proteobacteria	Gammaproteobacteria
jonesia_quinghaiensis	Bacteria	Actinobacteria	
streptomyces_avicenniae	Bacteria	Actinobacteria	
lactobacillus_sharpeae	Bacteria	Firmicutes	
burkholderia_andropogonis	Bacteria	Proteobacteria	Betaproteobacteria
saccharothrix_algeriensis	Bacteria	Actinobacteria	
corynebacterium_felinum	Bacteria	Actinobacteria	
acidocella_aminolytica	Bacteria	Proteobacteria	Alphaproteobacteria
flammulina_ononidis	Eukaryota	Basidiomycota	
thalictrum_coreanum	Eukaryota	Streptophyta	
gordonibacter_pamelaeae	Bacteria	Actinobacteria	
pseudomonas_simiae	Bacteria	Proteobacteria	Gammaproteobacteria
pelosinus_propionicus	Bacteria	Firmicutes	
granulicella_rosea	Bacteria	Acidobacteria	
pseudoalteromonas_luteoviolacea	Bacteria	Proteobacteria	Gammaproteobacteria
hymenobacter_chitinivorans	Bacteria	Bacteroidetes	
dichomitus_squalens	Eukaryota	Basidiomycota	
aestuariibacter_halophilus	Bacteria	Proteobacteria	Gammaproteobacteria
fusarium_tricinctum	Eukaryota	Ascomycota	
methanobacterium_congolense	Archaea	Euryarchaeota	
pseudoxanthomonas_taiwanensis	Bacteria	Proteobacteria	Gammaproteobacteria
acetobacter_cerevisiae	Bacteria	Proteobacteria	Alphaproteobacteria
melonycteris_melanops	Eukaryota	Chordata	
streptomyces_europaeiscabiei	Bacteria	Actinobacteria	
caluromys_derbianus	Eukaryota	Chordata	
paraeggerthella_hongkongensis	Bacteria	Actinobacteria	
corynebacterium_afermentans	Bacteria	Actinobacteria	
bifidobacterium_animalis	Bacteria	Actinobacteria	
aciditerrimonas_ferrireducens	Bacteria	Actinobacteria	
syncephalastrum_racemosum	Eukaryota	Mucoromycota	
pseudonocardia_chloroethenivorans	Bacteria	Actinobacteria	
streptomyces_clavifer	Bacteria	Actinobacteria	
ferula_linckii	Eukaryota	Echinodermata	
klebsiella_oxytoca	Bacteria	Proteobacteria	Gammaproteobacteria
chaetomium_mollicellum		Ascomycota	
caldicellulosiruptor_lactoaceticus	Bacteria	Firmicutes	
vanilla_planifolia	Eukaryota	Streptophyta	
azorhizobium_doebereinerae	Bacteria	Proteobacteria	Alphaproteobacteria
burkholderia_dolosa	Bacteria	Proteobacteria	Betaproteobacteria
desulfarculus_baarsii	Bacteria	Proteobacteria	Deltaproteobacteria
streptosporangium_brasiliense	Bacteria	Actinobacteria	
natranaerobius_thermophilus	Bacteria	Firmicutes	
streptomyces_spiralis	Bacteria	Actinobacteria	
eubacterium_saburreum	Bacteria	Firmicutes	
triticum_aestivum	Eukaryota	Streptophyta	
mustela_vison	Eukaryota	Chordata	
corynebacterium_terpenotabidum	Bacteria	Actinobacteria	
thermomonas_brevis	Bacteria	Proteobacteria	Gammaproteobacteria
paracoccus_yeei	Bacteria	Proteobacteria	Alphaproteobacteria
melittangium_boletus	Bacteria	Proteobacteria	Deltaproteobacteria
sorex_alpinus	Eukaryota	Chordata	
nevskia_soli	Bacteria	Proteobacteria	Gammaproteobacteria
portulaca_oleracea	Eukaryota	Streptophyta	
desulfotomaculum_arcticum	Bacteria	Firmicutes	
faecalibacterium_prausnitzii	Bacteria	Firmicutes	
desulfovibrio_legallis	Bacteria	Proteobacteria	Deltaproteobacteria
desulfofaba_fastidiosa	Bacteria	Proteobacteria	Deltaproteobacteria
vibrio_gazogenes	Bacteria	Proteobacteria	Gammaproteobacteria
citrobacter_murliniae	Bacteria	Proteobacteria	Gammaproteobacteria
metarhizium_flavoviride	Eukaryota	Ascomycota	
bacteroides_paramecium	Eukaryota		
lactococcus_raffinolactis	Bacteria	Firmicutes	
microscilla_marina	Bacteria	Bacteroidetes	
amanita_porphyria	Eukaryota	Basidiomycota	
botrytis_fabae	Eukaryota	Ascomycota	
alkalibacterium_subtropicum	Bacteria	Firmicutes	
streptomyces_argenteolus	Bacteria	Actinobacteria	
citrobacter_rodentium	Bacteria	Proteobacteria	Gammaproteobacteria
frateuria_aurantia	Bacteria	Proteobacteria	Gammaproteobacteria
microlunatus_panaciterrae	Bacteria	Actinobacteria	
dyella_thiooxydans	Bacteria	Proteobacteria	Gammaproteobacteria
tumebacillus_ginsengisoli	Bacteria	Firmicutes	
nesiotobacter_exalbescens	Bacteria	Proteobacteria	Alphaproteobacteria
lactobacillus_rennini	Bacteria	Firmicutes	
planococcus_halocryophilus	Bacteria	Firmicutes	
methanosarcina_barkeri	Archaea	Euryarchaeota	
marinactinospora_thermotolerans	Bacteria	Actinobacteria	
rhodocyclus_tenuis	Bacteria	Proteobacteria	Betaproteobacteria
verticillium_albo-atrum	Eukaryota	Ascomycota	
mucor_sinensis	Eukaryota	Mucoromycota	
acomys_russatus	Eukaryota	Chordata	
vibrio_porteresiae	Bacteria	Proteobacteria	Gammaproteobacteria
acetivibrio_ethanolgignens	Bacteria	Firmicutes	
guilliermondella_selenospora	Eukaryota	Ascomycota	
bartonella_rochalimae	Bacteria	Proteobacteria	Alphaproteobacteria
dyella_marensis	Bacteria	Proteobacteria	Gammaproteobacteria
lysobacter_spongiicola	Bacteria	Proteobacteria	Gammaproteobacteria
achromobacter_denitrificans	Bacteria	Proteobacteria	Betaproteobacteria
xenorhabdus_stockiae	Bacteria	Proteobacteria	Gammaproteobacteria
