species	superkingdom	phylum	class
brevibacterium_samyangense	Bacteria	Actinobacteria	
atropa_bella-donna	Eukaryota	Streptophyta	
gallaecimonas_pentaromativorans	Bacteria	Proteobacteria	Gammaproteobacteria
aspergillus_ochraceus	Eukaryota	Ascomycota	
paenibacillus_lactis	Bacteria	Firmicutes	
pseudomonas_chlororaphis	Bacteria	Proteobacteria	Gammaproteobacteria
enterococcus_phoeniculicola	Bacteria	Firmicutes	
pseudomonas_thivervalensis	Bacteria	Proteobacteria	Gammaproteobacteria
paenibacillus_thiaminolyticus	Bacteria	Firmicutes	
raoultella_ornithinolytica	Bacteria	Proteobacteria	Gammaproteobacteria
brucella_suis	Bacteria	Proteobacteria	Alphaproteobacteria
cryptodiaporthe_populea	Eukaryota	Ascomycota	
lactobacillus_crispatus	Bacteria	Firmicutes	
acinetobacter_tandoii	Bacteria	Proteobacteria	Gammaproteobacteria
spiroplasma_helicoides	Bacteria	Tenericutes	
actinomadura_atramentaria	Bacteria	Actinobacteria	
streptomyces_stelliscabiei	Bacteria	Actinobacteria	
haliscomenobacter_hydrossis	Bacteria	Bacteroidetes	
prevotella_buccalis	Bacteria	Bacteroidetes	
amycolatopsis_viridis	Bacteria	Actinobacteria	
pythium_intermedium	Eukaryota		
edaphobacter_aggregans	Bacteria	Acidobacteria	
aconitum_carmichaelii	Eukaryota	Streptophyta	
kordia_periserrulae	Bacteria	Bacteroidetes	
mycoplasma_dispar	Bacteria	Tenericutes	
thermococcus_thioreducens	Archaea	Euryarchaeota	
sphingomonas_japonica	Bacteria	Proteobacteria	Alphaproteobacteria
acetobacterium_carbinolicum	Bacteria	Firmicutes	
clostridium_asparagiforme	Bacteria	Firmicutes	
calidifontibacter_indicus	Bacteria	Actinobacteria	
pythium_ultimum	Eukaryota		
fumaria_parviflora	Eukaryota	Streptophyta	
pseudoalteromonas_espejiana	Bacteria	Proteobacteria	Gammaproteobacteria
legionella_birminghamensis	Bacteria	Proteobacteria	Gammaproteobacteria
nocardia_asiatica	Bacteria	Actinobacteria	
paracoccus_alcaliphilus	Bacteria	Proteobacteria	Alphaproteobacteria
cytophaga_xylanolytica	Bacteria	Bacteroidetes	
acetohalobium_arabaticum	Bacteria	Firmicutes	
mahonia_nervosa	Eukaryota	Streptophyta	
claviceps_fusiformis	Eukaryota	Ascomycota	
mycobacterium_boenickei	Bacteria	Actinobacteria	
methanomethylovorans_thermophila	Archaea	Euryarchaeota	
aspergillus_terricola	Eukaryota	Ascomycota	
ammonifex_thiophilus	Bacteria	Firmicutes	
mycoplasma_agalactiae	Bacteria	Tenericutes	
kytococcus_aerolatus	Bacteria	Actinobacteria	
bacillus_shackletonii	Bacteria	Firmicutes	
pseudonocardia_nitrificans	Bacteria	Actinobacteria	
thauera_chlorobenzoica	Bacteria	Proteobacteria	Betaproteobacteria
pontibacter_roseus	Bacteria	Bacteroidetes	
ochrobactrum_pseudintermedium	Bacteria	Proteobacteria	Alphaproteobacteria
fusarium_culmorum	Eukaryota	Ascomycota	
ruegeria_scottomollicae	Bacteria	Proteobacteria	Alphaproteobacteria
lactobacillus_murinus	Bacteria	Firmicutes	
raoultella_terrigena	Bacteria	Proteobacteria	Gammaproteobacteria
tatumella_ptyseos	Bacteria	Proteobacteria	Gammaproteobacteria
hyphomicrobium_zavarzinii	Bacteria	Proteobacteria	Alphaproteobacteria
cryptococcus_terreus	Eukaryota	Basidiomycota	
candida_lusitaniae	Eukaryota	Ascomycota	
fusarium_verticillioides	Eukaryota	Ascomycota	
rhodococcus_mycobacterium	Bacteria	Actinobacteria	
eucalyptus_punctata	Eukaryota	Streptophyta	
geobacter_pelophilus	Bacteria	Proteobacteria	Deltaproteobacteria
fistulina_hepatica	Eukaryota	Basidiomycota	
sporanaerobacter_acetigenes	Bacteria	Firmicutes	
gordonia_defluvii	Bacteria	Actinobacteria	
byssochlamys_nivea	Eukaryota	Ascomycota	
